OBJECTID,StemTag,quadrat,subquadrat,sp,lx,ly,previous_dbh,status_2023,notes_2023,fad_2023,wound_2023,rot_2023,canker_2023,tag,UTMX,UTMY,status_2024,wound_2024,rot_2024,canker_2024,crown_living,crown_intact,crown_position,fad_2024,fad_choices,liana_load,lean_angle,dead_resprout,crown_check,lean_direction,comment_mortality_2024,mort_census,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
179,10481,106,22,fagugr,2.59,3.85,21.2,AU,Ants nesting in wound,W,2,NA,NA,10481,731604.5942,4713337.85,AU,2,2,NA,100,100,2,"B,W,R,BB",BB,NA,NA,NA,NA,NA,"Broken stem, BBD",finished,b6fdcd98-48fb-46af-8f05-475b6c6177c0,2024-07-03T17:50:17Z,shuej21,2024-07-07T18:11:41Z,kdarocha_ufl,-72.179667912077,42.5377284597541
320,10666,111,22,fagugr,2.8,9.03,21.5,AU,Maybe disease,W,2,NA,NA,10666,731604.8034,4713443.02699,AU,2,NA,NA,97,99,2,W,W,NA,NA,NA,NA,NA,NA,finished,d5731437-5c20-4dca-b773-8fc1f2942968,2024-07-03T17:50:17Z,shuej21,2024-07-08T13:44:12Z,kdarocha_ufl,-72.1796227591576,42.5386744530966
339,10688,112,11,fagugr,9.62,5.63,21.2,AU,Bbd,K,NA,NA,NA,10688,731601.61838,4713449.634,AU,NA,NA,1,98,99,2,K,K,NA,NA,NA,NA,NA,BBD,finished,036ef009-b3c7-42ef-887e-bcb044d559cb,2024-07-03T17:50:17Z,shuej21,2024-07-08T14:20:12Z,kdarocha_ufl,-72.1796588220247,42.5387348360087
463,11012,115,22,fagugr,0.09,5.83,15.9,AU,Bbd,K,NA,NA,2,11012,731602.0931,4713519.83099,AU,NA,NA,2,94,98,2,K,K,NA,NA,NA,NA,NA,BBD,finished,ebe7887d-ac66-4762-8e9d-cd1b5a7458c9,2024-07-03T17:50:17Z,shuej21,2024-07-08T16:47:19Z,kdarocha_ufl,-72.179624609687,42.5393661085328
612,11805,121,12,fagugr,4.06,3.37,13.6,AU,Bbd,K,NA,NA,3,11805,731596.05605,4713637.366,AU,NA,NA,3,83,86,2,K,K,NA,NA,NA,NA,NA,BBD,finished,62ea2553-f7dd-467f-94c8-d0d9f48930bf,2024-07-03T17:50:17Z,shuej21,2024-07-09T14:30:14Z,kdarocha_ufl,-72.1796504218784,42.5404251307582
613,11806,121,12,fagugr,3.08,4.6,15.4,AU,Bbd,K,NA,NA,1,11806,731595.08471,4713638.604,AU,NA,NA,1,84,86,2,K,K,NA,NA,NA,NA,NA,BBD,finished,3b97b192-3343-44f3-a007-f980af7fa5b5,2024-07-03T17:50:17Z,shuej21,2024-07-09T14:31:02Z,kdarocha_ufl,-72.1796617361594,42.5404365574387
614,11820,121,12,fagugr,3.81,6.24,10.4,AU,Bbd,K,NA,NA,1,11820,731595.81438,4713640.24301,AU,NA,NA,1,87,89,2,"K,DF,LF",LF,NA,NA,NA,NA,NA,BBD,finished,a2d1d2e3-929b-4e68-a63a-0cfcf7395d44,2024-07-03T17:50:17Z,shuej21,2024-07-10T17:39:26Z,kdarocha_ufl,-72.1796521969494,42.5404510817102
615,11825,121,12,fagugr,5.8,7.74,10.1,AU,BBD,K,NA,NA,2,11825,731597.80083,4713641.74399,AU,NA,NA,2,90,92,1,K,K,NA,NA,NA,NA,NA,BBD,finished,396ef7fa-b5c9-4c61-a260-1fef47fdfa66,2024-07-03T17:50:17Z,shuej21,2024-07-10T17:40:24Z,kdarocha_ufl,-72.1796274268038,42.5404639876849
617,11834,121,12,fagugr,4.62,9.58,11.6,AU,Bbd,K,NA,NA,NA,11834,731596.62413,4713643.582,AU,NA,NA,1,72,78,1,K,K,NA,NA,NA,NA,NA,BBD,finished,fd809abc-bd18-4ec9-888d-2242bcfce6e7,2024-07-03T17:50:17Z,shuej21,2024-07-10T17:42:12Z,kdarocha_ufl,-72.1796409949578,42.5404808728709
618,11839,121,12,fagugr,6.06,7.82,13.7,AU,BBD,K,NA,NA,2,11839,731598.06028,4713641.815,AU,2,NA,2,83,86,1,"K,W",W,NA,NA,NA,NA,NA,NA,finished,ebf10c29-6ff9-4094-8d6c-757ce2acfba9,2024-07-03T17:50:17Z,shuej21,2024-07-10T17:41:22Z,kdarocha_ufl,-72.1796242413778,42.540464548958
622,11863,121,22,fagugr,2.6,8.88,12.1,A,NA,NA,NA,NA,NA,11863,731604.6002,4713642.88101,A,NA,NA,NA,86,89,2,NA,NA,NA,NA,NA,NA,NA,NA,finished,423c7c97-e4e5-45f5-a608-b7425c066329,2024-07-03T17:50:17Z,shuej21,2024-07-10T17:26:45Z,kdarocha_ufl,-72.1795442616731,42.5404721777717
726,12686,125,11,fagugr,5.2,2.05,15.2,AU,BBD,K,NA,NA,3,12686,731597.2025,4713706.052,AU,NA,NA,3,80,81,3,K,K,NA,NA,NA,NA,NA,BBD,finished,66e13d25-6f78-4ee7-92b1-e60c0ba510c5,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:45:15Z,kdarocha_ufl,-72.1796086493194,42.541042609979
741,12731,125,22,fagugr,8.03,7.05,10.2,AU,Bbd,K,NA,NA,2,12731,731610.0325,4713721.04901,AU,NA,NA,1,78,80,2,K,K,NA,NA,NA,NA,NA,BBD,finished,7ea983e1-4ded-4cc2-b171-6174516292a1,2024-07-03T17:50:17Z,shuej21,2024-07-10T20:05:03Z,kdarocha_ufl,-72.1794465132921,42.541173662601
746,12739,125,22,fagugr,4.59,3.55,10.1,AU,Bbd,K,NA,NA,3,12739,731606.5935,4713717.552,AU,NA,NA,3,90,90,3,K,K,NA,NA,NA,NA,NA,BBD,finished,dc8c3ec3-15ab-4c27-9506-8b56911908ac,2024-07-03T17:50:17Z,shuej21,2024-07-10T20:04:00Z,kdarocha_ufl,-72.1794897608848,42.5411432376979
748,12746,125,21,fagugr,1.54,5.15,11.5,AU,NA,K,NA,NA,2,12746,731603.5379,4713709.15399,AU,NA,NA,2,80,80,2,K,K,NA,NA,NA,NA,NA,BBD,finished,5a7f213d-c7af-449e-b652-3d38ebd2226f,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:50:42Z,kdarocha_ufl,-72.179530331498,42.5410686142859
750,12755,125,21,fagugr,3.96,7.12,11.4,AU,Bbd,W,2,NA,NA,12755,731605.9564,4713711.117,AU,2,NA,NA,90,90,2,W,W,NA,NA,NA,NA,NA,BBD,finished,b130813f-3024-4ab1-b668-28ae3956ace4,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:55:13Z,kdarocha_ufl,-72.17950011846,42.5410855463013
751,12756,125,21,fagugr,4.67,7.11,14.5,AU,BBD,K,NA,NA,2,12756,731606.667,4713711.11099,AU,NA,NA,NA,96,96,2,U,U,NA,NA,NA,NA,NA,"BBD, but did not find canker",finished,4c74eb29-b490-4e01-97f7-e7c4f812c97c,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:56:38Z,kdarocha_ufl,-72.179491476667,42.5410852795669
756,12774,125,21,fagugr,6.22,5.48,11.1,DS,NA,NA,NA,NA,NA,12774,731608.2201,4713709.479,DS,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,c0a71ad2-6fd5-4f8e-a51d-9e35d4e928cf,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:57:09Z,kdarocha_ufl,-72.1794732471549,42.5410701346067
759,20001,201,11,fagugr,3.09,3.69,17.3,DS,NA,"B,W",3,NA,NA,20001,731615.0911,4713227.69441,DS,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,87549476-6636-4e30-8044-7da9d9121e53,2024-07-03T17:50:17Z,shuej21,2024-07-07T13:13:29Z,jbudoffcorujo_ufl,-72.1795848637273,42.536734477587
773,20041,201,12,fagugr,9.78,9.1,17.5,AU,NA,"B,W",2,NA,NA,20041,731621.7794,4713243.102,AU,3,2,3,21,22,1,"B,K,W,R",R,NA,NA,NA,NA,NA,NA,finished,efaf88c7-58e3-4cef-91de-2383fe8240a5,2024-07-03T17:50:17Z,shuej21,2024-07-07T14:21:40Z,jbudoffcorujo_ufl,-72.1794972734955,42.5368710636091
1181,21382,219,12,fagugr,8.49,0.73,23.5,AU,BBD,"K,B,W",1,NA,1,21382,731620.4926,4713594.73401,AU,NA,NA,3,93,94,2,K,K,NA,NA,NA,NA,NA,BBD,finished,f2d57e9d-58c5-45ae-83ac-f00261f56ef7,2024-07-03T17:50:17Z,shuej21,2024-07-10T14:21:40Z,jbudoffcorujo_ufl,-72.1793704619201,42.5400343395434
1307,22442,224,12,fagugr,3.52,7.55,10.8,AU,BBD,"K,W",1,NA,1,22442,731615.5196,4713701.55399,AU,NA,NA,3,100,100,1,"F,K",K,NA,NA,NA,NA,NA,BBD,finished,0a0720ea-f313-40f1-aa63-8e808be12d99,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:37:24Z,jbudoffcorujo_ufl,-72.1793876691494,42.5409966627665
1329,22641,225,12,fagugr,0.12,2.53,10.3,AU,BBD,K,NA,NA,NA,22641,731612.1214,4713716.52802,AU,NA,NA,3,100,100,2,"K,F",F,NA,NA,NA,NA,NA,BBD,finished,31dea5f3-0ff1-4565-8865-c942afe8f8de,2024-07-03T17:50:17Z,shuej21,2024-07-10T20:01:47Z,jbudoffcorujo_ufl,-72.1794229370075,42.5411323704284
1335,22660,225,12,fagugr,5.32,4.87,13.3,AU,BBD,"K,LF",NA,NA,2,22660,731617.3163,4713718.867,AU,NA,NA,3,100,100,1,"K,F",F,NA,NA,NA,NA,NA,NA,finished,fb467ec3-c776-4fc5-ae88-4e1d7ea74863,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:58:46Z,jbudoffcorujo_ufl,-72.1793587999911,42.541151853279
1339,22679,225,12,fagugr,4.58,4.31,11.2,AU,BBD,"K,LF",NA,NA,2,22679,731616.5838,4713718.30701,AU,NA,NA,3,100,100,2,"K,F",F,NA,NA,NA,NA,NA,BBD,finished,8354a5b8-0e19-4160-b504-f290186d008a,2024-07-03T17:50:17Z,shuej21,2024-07-10T20:00:35Z,jbudoffcorujo_ufl,-72.1793679367559,42.5411470355167
1347,22773,225,21,fagugr,1.34,5.03,16.4,AU,BBD,K,NA,NA,1,22773,731623.3403,4713709.03,AU,1,1,2,100,100,1,"F,K,W,R",R,NA,NA,NA,NA,NA,BBD,finished,652fda27-988b-418a-8b62-974d2455caf8,2024-07-03T17:50:17Z,shuej21,2024-07-10T19:13:37Z,jbudoffcorujo_ufl,-72.1792895120349,42.5410615653453
1372,30056,301,22,fagugr,8.01,9.86,NA,DS,NA,NA,NA,NA,NA,30056,731650.0054,4713243.8603,DS,NA,NA,NA,0,8,3,NA,NA,NA,NA,NA,NA,NA,NA,finished,4d441aba-c4a3-4f52-a335-c73935ef909d,2024-07-03T17:50:17Z,shuej21,2024-07-07T13:56:15Z,johnson.daniel_ufl,-72.1791536580179,42.5368694273507
1375,30061,301,22,fagugr,8.5,8.18,NA,DS,NA,NA,NA,NA,NA,30061,731650.5023,4713242.1776,DS,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,finished,de9ed69f-52b7-483d-88ae-7e1b2bc64e9d,2024-07-03T17:50:17Z,shuej21,2024-07-07T13:55:38Z,johnson.daniel_ufl,-72.1791482959739,42.5368541430273
