,row,col,StemTag,frac,Feb_B02,Feb_B03,Feb_B04,Feb_B05,Feb_B06,Feb_B07,Feb_B08,Feb_B8A,Feb_B11,Feb_B12,Mar_B02,Mar_B03,Mar_B04,Mar_B05,Mar_B06,Mar_B07,Mar_B08,Mar_B8A,Mar_B11,Mar_B12,Jun_B02,Jun_B03,Jun_B04,Jun_B05,Jun_B06,Jun_B07,Jun_B08,Jun_B8A,Jun_B11,Jun_B12,Jul_B02,Jul_B03,Jul_B04,Jul_B05,Jul_B06,Jul_B07,Jul_B08,Jul_B8A,Jul_B11,Jul_B12,Aug_B02,Aug_B03,Aug_B04,Aug_B05,Aug_B06,Aug_B07,Aug_B08,Aug_B8A,Aug_B11,Aug_B12,Sep_B02,Sep_B03,Sep_B04,Sep_B05,Sep_B06,Sep_B07,Sep_B08,Sep_B8A,Sep_B11,Sep_B12,Oct_B02,Oct_B03,Oct_B04,Oct_B05,Oct_B06,Oct_B07,Oct_B08,Oct_B8A,Oct_B11,Oct_B12,Nov_B02,Nov_B03,Nov_B04,Nov_B05,Nov_B06,Nov_B07,Nov_B08,Nov_B8A,Nov_B11,Nov_B12,status,BBD,BLD,year,crown_intact,crown_living,FAD,Apr_B02,Apr_B03,Apr_B04,Apr_B05,Apr_B06,Apr_B07,Apr_B08,Apr_B8A,Apr_B11,Apr_B12,Dec_B02,Dec_B03,Dec_B04,Dec_B05,Dec_B06,Dec_B07,Dec_B08,Dec_B8A,Dec_B11,Dec_B12,Jan_B02,Jan_B03,Jan_B04,Jan_B05,Jan_B06,Jan_B07,Jan_B08,Jan_B8A,Jan_B11,Jan_B12,May_B02,May_B03,May_B04,May_B05,May_B06,May_B07,May_B08,May_B8A,May_B11,May_B12
0,31,57,311361,17.403155486476816,0.0323,0.0621,0.0649,0.1023,0.1786,0.1913,0.2236,0.2209,0.1098,0.0738,0.0262,0.0425,0.0424,0.0823,0.1429,0.167,0.2014,0.192,0.1677,0.099,0.0287,0.0627,0.0243,0.102,0.3639,0.4402,0.441,0.4441,0.186,0.0763,0.1651,0.1437,0.1001,0.1361,0.3098,0.3735,0.3755,0.3888,0.1886,0.079,0.0274,0.043,0.0224,0.0702,0.2565,0.3186,0.3268,0.3418,0.1726,0.0714,0.0364,0.0509,0.029,0.0769,0.2517,0.3063,0.3027,0.3265,0.168,0.0702,0.0139,0.0443,0.0281,0.0906,0.2098,0.2501,0.2659,0.2774,0.1578,0.072,0.0136,0.0296,0.0465,0.076,0.1186,0.1506,0.167,0.1799,0.1483,0.0815,AU,1.0,0.0,2021,100.0,98.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,61,331632,17.372603342468864,0.0047,0.0314,0.038,0.0717,0.1521,0.1758,0.2171,0.2051,0.1113,0.0704,0.0246,0.0446,0.0398,0.0789,0.1559,0.1747,0.2167,0.2008,0.1532,0.0855,0.029,0.0605,0.0236,0.0977,0.331,0.3995,0.427,0.4189,0.1786,0.0757,0.1613,0.1426,0.0975,0.1347,0.2993,0.3574,0.3753,0.3729,0.1817,0.0782,0.0279,0.0457,0.0213,0.0709,0.2529,0.3125,0.3388,0.3303,0.1674,0.0691,0.0336,0.0539,0.0266,0.0785,0.2414,0.2952,0.3096,0.3187,0.1601,0.0675,0.0187,0.055,0.0394,0.0836,0.1742,0.2032,0.2461,0.2256,0.1475,0.0744,0.0217,0.0344,0.0434,0.0692,0.1146,0.1358,0.164,0.1641,0.1379,0.0804,AU,1.0,0.0,2021,80.0,68.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,62,331632,54.36778632638289,0.0023,0.0252,0.0311,0.0678,0.1437,0.1689,0.1771,0.1961,0.1078,0.0675,0.0231,0.0393,0.0384,0.0767,0.1522,0.1706,0.1843,0.1969,0.1505,0.0832,0.0286,0.0591,0.0241,0.0966,0.326,0.3938,0.4085,0.4143,0.1758,0.0748,0.1615,0.1449,0.0983,0.1347,0.2981,0.3555,0.365,0.3712,0.1807,0.0777,0.026,0.0426,0.0213,0.0707,0.251,0.3093,0.3104,0.3278,0.1666,0.0683,0.0334,0.051,0.0261,0.0782,0.2394,0.2918,0.2861,0.3149,0.1585,0.067,0.0152,0.0414,0.0328,0.0811,0.1726,0.2013,0.2052,0.2234,0.1433,0.0712,0.0173,0.0272,0.0337,0.064,0.1088,0.1296,0.1349,0.1578,0.1318,0.0762,AU,1.0,0.0,2021,80.0,68.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,61,331632,2.908859507092053,0.0004,0.0264,0.0245,0.0679,0.1464,0.1706,0.1934,0.1971,0.1085,0.0686,0.0206,0.0405,0.032,0.0761,0.1517,0.17,0.207,0.1961,0.1504,0.0839,0.0275,0.0593,0.0235,0.0972,0.3287,0.4,0.4129,0.4194,0.1803,0.0763,0.161,0.1428,0.0982,0.1346,0.298,0.3562,0.3649,0.3724,0.1822,0.0789,0.0276,0.0429,0.0204,0.07,0.2499,0.3079,0.3221,0.3279,0.1675,0.0694,0.0337,0.0492,0.0255,0.0784,0.2383,0.2935,0.2969,0.3166,0.1604,0.0675,0.0177,0.0463,0.0344,0.0818,0.1688,0.1971,0.2268,0.221,0.1482,0.0748,0.0214,0.0333,0.0424,0.0675,0.112,0.1332,0.1602,0.164,0.1408,0.082,AU,1.0,0.0,2021,80.0,68.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,62,331632,10.240190362345217,0.0003,0.0193,0.0233,0.0641,0.1403,0.1661,0.1766,0.1901,0.1056,0.0661,0.0209,0.0344,0.0335,0.0738,0.1491,0.1677,0.1795,0.1934,0.1469,0.0812,0.0279,0.0579,0.0232,0.0968,0.3263,0.3967,0.3835,0.4167,0.178,0.0753,0.1629,0.1452,0.0991,0.1347,0.2973,0.3562,0.356,0.3718,0.1818,0.0786,0.0269,0.0416,0.0217,0.0703,0.2498,0.3074,0.3132,0.329,0.1677,0.069,0.0353,0.049,0.0264,0.0783,0.2389,0.2919,0.2939,0.315,0.1597,0.0676,0.0154,0.0415,0.0317,0.0818,0.1738,0.2015,0.2235,0.2247,0.1452,0.072,0.0176,0.0286,0.036,0.0645,0.1086,0.1305,0.1438,0.1621,0.1364,0.0788,AU,1.0,0.0,2021,80.0,68.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,61,331779,3.530245139423529,0.0081,0.0332,0.0496,0.0797,0.162,0.1834,0.23,0.2155,0.1132,0.0716,0.0272,0.0442,0.0431,0.0811,0.1584,0.178,0.2152,0.2045,0.155,0.0869,0.0286,0.0575,0.024,0.097,0.3246,0.3884,0.3948,0.4082,0.1734,0.0741,0.1615,0.1419,0.0981,0.1348,0.2971,0.3537,0.3644,0.3686,0.1782,0.0762,0.0273,0.0441,0.0218,0.0705,0.2486,0.308,0.3258,0.3243,0.1637,0.0673,0.0344,0.0509,0.0273,0.0772,0.2364,0.2882,0.2896,0.3092,0.1555,0.0657,0.0153,0.0508,0.0333,0.0798,0.1666,0.1953,0.2403,0.2179,0.1408,0.0707,0.0186,0.0352,0.0405,0.0671,0.1132,0.1312,0.1696,0.1567,0.1283,0.0739,AU,1.0,0.0,2021,100.0,100.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,62,331779,3.1573889754781455,0.0038,0.0296,0.0391,0.0747,0.1516,0.1754,0.2071,0.2067,0.1098,0.0689,0.0267,0.0429,0.0411,0.0793,0.1554,0.1736,0.2078,0.2012,0.1532,0.0851,0.0279,0.0588,0.0236,0.0955,0.3193,0.3831,0.4089,0.404,0.1705,0.0733,0.1615,0.1432,0.0977,0.1344,0.297,0.3521,0.3658,0.3677,0.1772,0.0756,0.0273,0.0446,0.0223,0.0709,0.2481,0.3063,0.3234,0.3202,0.1624,0.0663,0.0331,0.0504,0.0272,0.0773,0.2351,0.286,0.2864,0.3072,0.1543,0.0652,0.0141,0.0377,0.0319,0.0769,0.1603,0.1888,0.1967,0.2123,0.1376,0.0687,0.017,0.0273,0.0328,0.0618,0.1087,0.1249,0.142,0.1496,0.1233,0.0706,AU,1.0,0.0,2021,100.0,100.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23,61,331779,1.5935662866726554,0.0047,0.0314,0.038,0.0717,0.1521,0.1758,0.2171,0.2051,0.1113,0.0704,0.0246,0.0446,0.0398,0.0789,0.1559,0.1747,0.2167,0.2008,0.1532,0.0855,0.029,0.0605,0.0236,0.0977,0.331,0.3995,0.427,0.4189,0.1786,0.0757,0.1613,0.1426,0.0975,0.1347,0.2993,0.3574,0.3753,0.3729,0.1817,0.0782,0.0279,0.0457,0.0213,0.0709,0.2529,0.3125,0.3388,0.3303,0.1674,0.0691,0.0336,0.0539,0.0266,0.0785,0.2414,0.2952,0.3096,0.3187,0.1601,0.0675,0.0187,0.055,0.0394,0.0836,0.1742,0.2032,0.2461,0.2256,0.1475,0.0744,0.0217,0.0344,0.0434,0.0692,0.1146,0.1358,0.164,0.1641,0.1379,0.0804,AU,1.0,0.0,2021,100.0,100.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,62,331779,0.400679885899392,0.0023,0.0252,0.0311,0.0678,0.1437,0.1689,0.1771,0.1961,0.1078,0.0675,0.0231,0.0393,0.0384,0.0767,0.1522,0.1706,0.1843,0.1969,0.1505,0.0832,0.0286,0.0591,0.0241,0.0966,0.326,0.3938,0.4085,0.4143,0.1758,0.0748,0.1615,0.1449,0.0983,0.1347,0.2981,0.3555,0.365,0.3712,0.1807,0.0777,0.026,0.0426,0.0213,0.0707,0.251,0.3093,0.3104,0.3278,0.1666,0.0683,0.0334,0.051,0.0261,0.0782,0.2394,0.2918,0.2861,0.3149,0.1585,0.067,0.0152,0.0414,0.0328,0.0811,0.1726,0.2013,0.2052,0.2234,0.1433,0.0712,0.0173,0.0272,0.0337,0.064,0.1088,0.1296,0.1349,0.1578,0.1318,0.0762,AU,1.0,0.0,2021,100.0,100.0,"I,F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14,48,261167,1.264499789759078,0.0135,0.0388,0.0448,0.0964,0.1978,0.2293,0.2547,0.2589,0.1082,0.0685,0.023,0.0412,0.0389,0.0803,0.168,0.191,0.2179,0.2194,0.1628,0.0894,0.0293,0.0598,0.0242,0.0947,0.3295,0.4035,0.4018,0.4217,0.1771,0.0737,0.1641,0.1433,0.0981,0.1357,0.3056,0.3683,0.3813,0.3851,0.1829,0.077,0.0292,0.0434,0.0224,0.0694,0.259,0.3239,0.341,0.3415,0.165,0.0677,0.0363,0.0526,0.0274,0.0748,0.242,0.3046,0.3095,0.3239,0.1573,0.0659,0.0149,0.0421,0.0282,0.0853,0.2059,0.233,0.2792,0.2616,0.1431,0.0663,0.0158,0.031,0.0311,0.0689,0.128,0.1471,0.1756,0.1875,0.1298,0.0713,A,0.0,0.0,2021,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
