"stem_tag","status","BBD","BLD","year","useable"
"271124","AU",1,0,"2021",NA
"100091","AU",1,0,"2021",NA
"300902","AU",1,0,"2021",NA
"240098","AU",1,0,"2021",NA
"151613","AU",1,0,"2021",NA
"121716","AU",1,0,"2021",NA
"191166","AU",1,0,"2021",NA
"341162","AU",1,0,"2021",NA
"331456","AU",1,0,"2021",NA
"331632","AU",1,0,"2021",NA
"331779","AU",1,0,"2021",NA
"311822","AU",1,0,"2021",NA
"311754","AU",1,0,"2021",NA
"310909","AU",1,0,"2021",NA
"311361","AU",1,0,"2021",NA
"280672","AU",1,0,"2021",NA
"210616","AU",1,0,"2021",NA
"190240","AU",1,0,"2021",NA
"271653","AU",1,0,"2021",NA
"271345","AU",1,0,"2021",NA
"211000","AU",1,0,"2021",NA
"160806","AU",1,0,"2021",NA
"160809","AU",1,0,"2021",NA
"160836","AU",1,0,"2021",NA
"121672","AU",1,0,"2021",NA
"120690","DS",1,0,"2021",NA
"120691","DS",1,0,"2021",NA
"321574","AU",1,0,"2021",NA
"321575","AU",1,0,"2021",NA
"321565","AU",1,0,"2021",NA
"321686","AU",1,0,"2021",NA
"321692","DS",1,0,"2021",NA
"321651","AU",1,0,"2021",NA
"321836","AU",1,0,"2021",NA
"131659","AU",1,0,"2021",NA
"281321","AU",1,0,"2021",NA
"281525","AU",1,0,"2021",NA
"131112","AU",1,0,"2021",NA
"251485","AU",1,0,"2021",NA
"281323","AU",1,0,"2021",NA
"201050","AU",1,0,"2021",NA
"41587","AU",1,0,"2021",NA
"281585","AU",1,0,"2021",NA
"281675","AU",1,0,"2021",NA
"281674","AU",1,0,"2021",NA
"161880","AU",1,0,"2021",NA
"162138","DS",1,0,"2021",NA
"130332","AU",1,0,"2021",NA
"61581","AU",1,0,"2021",NA
"12686","AU",1,0,"2021",NA
"241842","AU",1,0,"2021",NA
"31078","AU",0,0,"2021",NA
"240109","AU",1,0,"2021",NA
"281699","AU",1,0,"2021",NA
"281383","AU",1,0,"2021",NA
"201046","AU",0,0,"2021",NA
"291714","AU",1,0,"2021",NA
"151427","AU",0,0,"2021",NA
"281050","AU",0,0,"2021",NA
"340841","A",0,0,"2021",NA
"301364","A",0,0,"2021",NA
"300802","AU",1,0,"2021",NA
"300650","AU",1,0,"2021",NA
"300593","AU",1,0,"2021",NA
"300570","AU",1,0,"2021",NA
"240087","A",0,0,"2021",NA
"321615","DS",0,0,"2021",NA
"220932","A",0,0,"2021",NA
"271431","A",0,0,"2021",NA
"261167","A",0,0,"2021",NA
"261213","A",0,0,"2021",NA
"261302","DS",0,0,"2021",NA
"181617","A",0,0,"2021",NA
"190086","A",0,0,"2021",NA
"211039","DS",0,0,"2021",NA
"140377","A",0,0,"2021",NA
"150624","A",0,0,"2021",NA
"170920","A",0,0,"2021",NA
"170921","A",0,0,"2021",NA
"170750","A",0,0,"2021",NA
"171098","A",0,0,"2021",NA
"170806","A",0,0,"2021",NA
"191242","A",0,0,"2021",NA
"162176","A",0,0,"2021",NA
"130286","A",0,0,"2021",NA
"130298","A",0,0,"2021",NA
"131190","AU",0,0,"2021",NA
"131058","A",0,0,"2021",NA
"131229","A",0,0,"2021",NA
"141939","A",0,0,"2021",NA
"130684","A",0,0,"2021",NA
"140542","A",0,0,"2021",NA
"100294","A",0,0,"2021",NA
"110339","A",0,0,"2021",NA
"81091","A",0,0,"2021",NA
"81369","A",0,0,"2021",NA
"32534","A",0,0,"2021",NA
"41648","AU",0,0,"2021",NA
"12739","AU",0,0,"2021",NA
"42565","A",0,0,"2021",NA
"30056","DS",0,0,"2021",NA
"30176","DS",0,0,"2021",NA
"40668","A",0,0,"2021",NA
"40652","A",0,0,"2021",NA
"341162","AU",0,0,"2022",NA
"340841","AU",0,0,"2022",NA
"311754","AU",0,0,"2022",NA
"311822","AU",0,0,"2022",NA
"311361","AU",0,0,"2022",NA
"310909","AU",0,0,"2022",NA
"291714","AU",0,0,"2022",NA
"321574","AU",0,0,"2022",NA
"321575","AU",0,0,"2022",NA
"321565","AU",0,0,"2022",NA
"321836","AU",0,0,"2022",NA
"321615","DS",0,0,"2022",NA
"321686","AU",0,0,"2022",NA
"321692","AU",0,0,"2022",NA
"321651","AU",0,0,"2022",NA
"331456","AU",0,0,"2022",NA
"331632","AU",0,0,"2022",NA
"331779","AU",0,0,"2022",NA
"300593","AU",0,0,"2022",NA
"300570","AU",0,0,"2022",NA
"300650","AU",0,0,"2022",NA
"300802","AU",0,0,"2022",NA
"300902","AU",0,0,"2022",NA
"301364","A",0,0,"2022",NA
"271124","AU",0,0,"2022",NA
"280672","AU",0,0,"2022",NA
"281050","AU",0,0,"2022",NA
"281525","AU",0,0,"2022",NA
"240087","AU",0,0,"2022",NA
"240098","AU",0,0,"2022",NA
"240109","AU",0,0,"2022",NA
"281699","AU",0,0,"2022",NA
"281585","AU",0,0,"2022",NA
"281674","AU",0,0,"2022",NA
"281675","AU",0,0,"2022",NA
"281383","AU",0,0,"2022",NA
