"stem_tag","status","BBD","BLD","year"
"100091","AU",0,0,"2023"
"100294","A",0,0,"2023"
"110339","A",0,0,"2023"
"120690","DS",0,0,"2023"
"120691","DS",0,0,"2023"
"121672","AU",0,0,"2023"
"121716","AU",0,0,"2023"
"12686","AU",0,0,"2023"
"12739","AU",0,0,"2023"
"130286","AU",0,0,"2023"
"130298","AU",0,0,"2023"
"130332","AU",0,0,"2023"
"130684","AU",0,0,"2023"
"131058","AU",0,0,"2023"
"131112","AU",0,0,"2023"
"131190","AU",0,0,"2023"
"131229","AU",0,0,"2023"
"131659","AU",0,0,"2023"
"140377","AU",1,1,"2023"
"140542","A",0,0,"2023"
"141939","AU",0,0,"2023"
"150624","AU",0,0,"2023"
"151427","DS",0,0,"2023"
"151613","AU",0,0,"2023"
"160806","AU",0,0,"2023"
"160809","AU",0,0,"2023"
"160836","AU",0,0,"2023"
"161880","AU",0,0,"2023"
"162138","DS",0,0,"2023"
"162176","A",0,0,"2023"
"170750","AU",0,0,"2023"
"170806","AU",0,0,"2023"
"170920","AU",0,0,"2023"
"170921","AU",0,0,"2023"
"171098","AU",0,0,"2023"
"181617","AU",0,0,"2023"
"190086","A",0,0,"2023"
"190240","AU",0,0,"2023"
"191166","AU",0,0,"2023"
"191242","AU",0,0,"2023"
"201046","AU",0,0,"2023"
"201050","AU",0,0,"2023"
"210616","AU",0,0,"2023"
"211000","AU",0,0,"2023"
"211039","DS",0,0,"2023"
"220932","AU",0,0,"2023"
"240087","AU",0,0,"2023"
"240098","AU",0,0,"2023"
"240109","AU",0,0,"2023"
"241842","AU",0,0,"2023"
"251485","AU",0,0,"2023"
"261167","AU",0,0,"2023"
"261213","AU",0,0,"2023"
"261302","DS",0,0,"2023"
"271124","AU",0,0,"2023"
"271345","AU",0,0,"2023"
"271431","A",0,0,"2023"
"271653","DS",0,0,"2023"
"280672","AU",0,0,"2023"
"281050","AU",0,0,"2023"
"281321","AU",0,0,"2023"
"281323","AU",0,0,"2023"
"281383","AU",0,0,"2023"
"281525","AU",0,0,"2023"
"281585","AU",0,0,"2023"
"281674","AU",0,0,"2023"
"281675","AU",0,0,"2023"
"281699","AU",0,0,"2023"
"291714","AU",0,0,"2023"
"30056","DS",0,0,"2023"
"300570","AU",0,0,"2023"
"300593","AU",0,0,"2023"
"300650","AU",0,0,"2023"
"300802","AU",0,0,"2023"
"300902","AU",0,0,"2023"
"301364","A",0,0,"2023"
"30176","DS",0,0,"2023"
"31078","AU",0,0,"2023"
"310909","AU",0,0,"2023"
"311361","AU",0,0,"2023"
"311754","AU",0,0,"2023"
"311822","AU",0,0,"2023"
"321565","AU",0,0,"2023"
"321574","AU",0,0,"2023"
"321575","AU",0,0,"2023"
"321615","DS",0,0,"2023"
"321651","AU",0,0,"2023"
"321686","AU",0,0,"2023"
"321692","AU",0,0,"2023"
"321836","AU",0,0,"2023"
"32534","A",0,0,"2023"
"331456","AU",0,0,"2023"
"331632","AU",0,0,"2023"
"331779","AU",0,0,"2023"
"340841","AU",0,0,"2023"
"341162","AU",0,0,"2023"
"40652","A",0,0,"2023"
"40668","AU",0,0,"2023"
"41587","AU",1,1,"2023"
"41648","AU",0,0,"2023"
"42565","A",0,0,"2023"
"61581","AU",0,0,"2023"
"81091","A",0,0,"2023"
"81369","AU",0,0,"2023"
