"stem_tag","status","BBD","BLD","year","useable"
"12686","AU",1,1,"2025","No"
"12739","AU",1,1,"2025","No"
"30056","DS",1,NA,"2025","Yes"
"30176","DS",0,NA,"2025","Yes"
"31078","AU",1,1,"2025","Yes"
"32534","AU",1,1,"2025","Yes"
"40652","AU",1,1,"2025","Yes"
"40668","AU",1,1,"2025","No"
"41587","AU",1,1,"2025","Yes"
"42565","AU",1,1,"2025","Yes"
"61581","AU",1,1,"2025","Yes"
"81091","A",0,0,"2025","Yes"
"81369","AU",1,1,"2025","Yes"
"100091","AU",1,1,"2025","Yes"
"100294","AU",1,1,"2025","No"
"110339","AU",1,1,"2025","Yes"
"120690","DS",1,NA,"2025","No"
"120691","DS",1,NA,"2025","No"
"121672","AU",1,1,"2025","Yes"
"121716","AU",1,1,"2025","Yes"
"130286","AU",1,1,"2025","Yes"
"130298","AU",1,1,"2025","No"
"130332","AU",1,1,"2025","No"
"130684","AU",1,1,"2025","No"
"131058","AU",1,1,"2025","Yes"
"131112","AU",1,1,"2025","Yes"
"131190","DS",1,NA,"2025","No"
"131229","AU",1,1,"2025","No"
"131659","AU",1,1,"2025","Yes"
"140377","AU",1,1,"2025","Yes"
"140542","AU",1,1,"2025","No"
"141939","AU",1,1,"2025","Yes"
"150624","AU",1,1,"2025","No"
"151427","DS",0,NA,"2025","Yes"
"151613","AU",1,1,"2025","Yes"
"152369",NA,NA,NA,"2025","No"
"160806","AU",1,1,"2025","No"
"160809","AU",1,1,"2025","Yes"
"160836","AU",1,1,"2025","Yes"
"161880","AU",1,1,"2025","No"
"162138","DS",1,NA,"2025","Yes"
"162176","AU",0,1,"2025","No"
"170750","AU",1,1,"2025","Yes"
"170806","AU",1,1,"2025","No"
"170920","AU",1,1,"2025","Yes"
"170921","AU",1,1,"2025","Yes"
"171098","AU",1,1,"2025","No"
"181617","AU",1,1,"2025","Yes"
"190086","AU",1,1,"2025","No"
"190240","DS",1,NA,"2025","No"
"191166","AU",1,1,"2025","Yes"
"191242","AU",1,0,"2025","Yes"
"201046","AU",1,1,"2025","Yes"
"201050","AU",1,1,"2025","Yes"
"211000","DS",1,NA,"2025","Yes"
"211039","DS",0,NA,"2025","Yes"
"220932","AU",1,1,"2025","Yes"
"240087","AU",1,1,"2025","No"
"240098","AU",1,1,"2025","No"
"240109","AU",1,1,"2025","Yes"
"241842","DS",1,NA,"2025","Yes"
"251485","AU",1,1,"2025","Yes"
"261167","AU",1,1,"2025","Yes"
"261213","AU",1,1,"2025","Yes"
"261302","DS",1,NA,"2025","Yes"
"271124","AU",1,1,"2025","Yes"
"271345","AU",1,1,"2025","Yes"
"271431","AU",1,1,"2025","Yes"
"271653","DS",1,NA,"2025","Yes"
"280672","AU",1,1,"2025","Yes"
"281050","AU",0,1,"2025","Yes"
"281323","AU",1,1,"2025","Yes"
"281383","AU",1,1,"2025","Yes"
"281525","AU",1,1,"2025","Yes"
"281585","AU",1,1,"2025","Yes"
"281674","AU",1,1,"2025","Yes"
"281675","AU",1,1,"2025","Yes"
"281699","AU",1,1,"2025","Yes"
"291714","AU",1,1,"2025","Yes"
"300570","AU",1,1,"2025","Yes"
"300593","AU",1,1,"2025","Yes"
"300650","AU",1,1,"2025","No"
"300802","DS",1,NA,"2025","Yes"
"300902","AU",1,1,"2025","No"
"301364","AU",1,1,"2025","Yes"
"310909","AU",1,1,"2025","Yes"
"311361","AU",1,1,"2025","Yes"
"311754","AU",1,1,"2025","No"
"311822","AU",1,1,"2025","No"
"321565","AU",1,1,"2025","Yes"
"321575","AU",1,1,"2025","Yes"
"321615","DS",1,NA,"2025","No"
"321651","AU",1,1,"2025","Yes"
"321686","AU",1,1,"2025","Yes"
"321692","DS",1,NA,"2025","Yes"
"321836","DS",1,NA,"2025","No"
"331456","AU",1,1,"2025","Yes"
"331632","AU",1,1,"2025","Yes"
"331779","AU",1,1,"2025","Yes"
"340841","AU",1,1,"2025","No"
"341162","AU",1,1,"2025","Yes"
"210616","AU",1,1,"2025","No"
"41648","AU",1,1,"2025","Yes"
"281321","AU",1,1,"2025","Yes"
"321574","AU",1,1,"2025","Yes"
