,row,col,StemTag,frac
0,10,20,311361,0.019336839429418686
1,10,21,311361,0.016246802476354544
2,11,20,311361,0.015305758967488684
3,11,21,311361,0.012621429384629948
4,8,22,331632,0.09432159948633385
5,8,22,331779,0.009646533652303566
6,5,17,261167,0.009113452373228139
7,6,19,281383,0.008986131343440399
8,7,18,281321,0.012651547393431242
9,6,19,291714,0.034488574764799274
10,7,5,081091,0.07406118914523688
11,8,5,081091,0.024212542097097157
12,8,21,321651,0.010442206336880698
13,9,21,321651,0.008902546707146086
14,8,19,301364,0.06078055246994554
15,8,20,301364,0.060257992113838824
16,9,19,301364,0.060076304019173424
17,9,20,301364,0.0595537436630667
18,5,18,281585,0.024510378051312596
19,5,19,281585,0.024258549497470767
20,0,14,211039,0.07866675797139616
21,1,14,211039,0.07845881210895694
22,2,12,181617,0.02120829875812881
23,3,12,181617,0.020250284264288137
24,3,13,191166,0.014351835889312728
25,3,14,201050,0.0038091307026635367
26,2,13,191242,0.04969278428843738
27,3,13,191242,0.03401328508209631
28,10,22,331456,0.018321689829420586
29,11,22,331456,0.0032338571643569032
30,10,23,341162,0.01999090721200093
31,16,15,240109,0.05768788630164523
32,16,16,240109,0.0054937415402153845
33,17,15,240109,0.006007065441741785
34,15,11,170750,0.01220719885201132
35,15,10,160836,0.002519668864466999
36,14,9,140377,0.00638751099408659
37,14,8,130286,0.03131363409010856
38,14,9,130286,0.005337702479647025
39,13,8,130332,0.028983358960033387
40,14,7,110339,0.002996230158138404
41,15,7,110339,0.0003652064271159488
42,4,19,281699,0.03230650182269066
43,5,19,281525,0.010974451005597522
44,4,19,281675,0.035816677264179114
45,5,19,281675,0.018215281222232017
46,6,19,281323,0.027971410530130726
47,7,19,281323,2.3770950511933916e-05
48,7,18,271345,0.01763689139151513
49,7,10,151427,0.025362240312604232
50,1,14,211000,0.02717222132892357
51,2,14,211000,0.025653312103039384
52,4,18,271653,0.049803028674613434
53,4,18,261302,0.008057367987662576
54,4,17,251485,0.038971760911671746
55,2,15,220932,0.01773395750407939
56,3,13,201046,0.006543786589998454
57,3,14,201046,0.0006169930972670134
58,10,17,271124,0.014895164533788427
59,2,9,131659,0.005802351472817759
60,5,10,151613,0.0262847898636772
61,1,3,042565,0.02327331910699671
62,5,6,081369,0.008016428835360344
63,13,2,040652,0.054133093819046865
64,13,3,040652,0.0062663155221971975
65,2,11,162138,0.014757320064439645
66,14,10,160809,0.018059918501207257
67,14,11,160809,0.004343402251053764
68,16,6,100091,0.0036437719621277708
69,5,4,061581,0.008323828133538743
70,2,2,032534,0.012896781405219188
71,14,19,300593,0.0031258056200787754
72,14,19,300570,0.00255825907214628
73,13,18,280672,0.0020842564877062058
74,6,9,131058,0.0027856225948476995
75,6,8,131112,0.004217672929972736
76,6,9,131112,0.003644202256105106
77,12,20,300802,0.012646654131144736
78,13,20,300802,0.012634412849915271
79,13,20,310909,0.008419287966305571
