,row,col,StemTag,frac,Status_2024,Status_2025,crown_intact_2024,crown_intact_2025,crown_living_2024,crown_living_2025,BBD,BBD_severity,BLD,BLD_severity,FAD_2024,Fungi (F),Leaf Damage (LF),Insect Infection (I),Canker (K),Wound (W),Rot (R),Defolation (DF),Broken stem(B),Animal Damage (An),Hollow Stem (HS),Bark Beetles (BB),Unknown (U),notes,Heart Rot (H),Useable
0,10,20,311361,0.019336839429418686,AU,AU,91,90.0,87,85.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,R,I",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
1,10,21,311361,0.016246802476354544,AU,AU,91,90.0,87,85.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,R,I",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
2,11,20,311361,0.015305758967488684,AU,AU,91,90.0,87,85.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,R,I",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
3,11,21,311361,0.012621429384629948,AU,AU,91,90.0,87,85.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,R,I",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
4,8,22,331632,0.09432159948633385,AU,AU,94,90.0,82,85.0,1.0,"large cankers, scale insect, orange bark",1.0,banded,"I,W,R,K,F",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
5,8,22,331779,0.009646533652303566,AU,AU,99,99.0,99,99.0,1.0,"large cankers, orange bark, scale insect",1.0,strongly banded leaves,"I,W,K,R",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
6,5,17,261167,0.009113452373228139,AU,AU,97,95.0,91,90.0,1.0,"small cankers, scale insect",1.0,strongly banded leaves,K,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
7,6,19,281383,0.008986131343440399,AU,AU,85,85.0,60,37.0,1.0,"large cankers, scale insect, orange bark",1.0,"advanced, curled and dead leaves","K,DF",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
8,7,18,281321,0.012651547393431242,AU,AU,58,82.0,49,66.0,1.0,"large cankers, scale insect",1.0,"advanced, curled and dead leaves","K,R,W",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RATED 2 but in the canopy ,0.0,Yes
9,6,19,291714,0.034488574764799274,AU,AU,89,70.0,77,50.0,1.0,"large cankers, scale insect, fungi, orange bark",1.0,strongly banded leaves,"K,DF",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
10,7,5,081091,0.07406118914523688,A,A,100,100.0,100,100.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
11,8,5,081091,0.024212542097097157,A,A,100,100.0,100,100.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
12,8,21,321651,0.010442206336880698,AU,AU,95,80.0,48,45.0,1.0,"large cankers, scale insect, orange bark",1.0,banded leaves,"K,I,DF,R",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,Yes
